level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11,level 12,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11,level 126,3,2,2,2,2,2,2,2,2,2,1,157,6,3,2,2,2,2,2,2,2,2,2
49,13,4,1,1,1,1,1,1,1,1,1,49,49,13,4,1,1,1,1,1,1,1,1
245,62,16,4,1,1,1,1,1,1,1,1,245,245,62,16,4,1,1,1,1,1,1,1
489,123,31,8,2,1,1,1,1,1,1,1,489,489,123,31,8,2,1,1,1,1,1,1
2442,611,153,39,10,3,1,1,1,1,1,1,2442,2442,611,153,39,10,3,1,1,1,1,1
4883,1222,306,77,20,5,2,1,1,1,1,1,4883,4883,1222,306,77,20,5,2,1,1,1,1
24415,6105,1527,382,96,24,6,2,1,1,1,1,24415,24415,6105,1527,382,96,24,6,2,1,1,1
48829,12208,3052,763,191,48,12,3,1,1,1,1,48829,48829,12208,3052,763,191,48,12,3,1,1,1
244141,61036,15259,3815,954,239,60,15,4,1,1,1,244141,244141,61036,15259,3815,954,239,60,15,4,1,1
488282,122071,30518,7630,1908,477,120,30,8,2,1,1,488282,488282,122071,30518,7630,1908,477,120,30,8,2,1
732422,183106,45777,11445,2862,716,179,45,12,3,1,1,732422,732422,183106,45777,11445,2862,716,179,45,12,3,1490,123,32,9,3,2,2,2,2,1,1,1,489,490,123,32,9,3,2,2,2,2,1,1
